Station_ID	Station_Name	Division	Latitude	Longitude	Elevation_m	Date	Time	Season	Temp_Max_C	Temp_Min_C	Current_Temp_C	Temp_Range_C	Rainfall_mm	Humidity_Morning_Pct	Humidity_Evening_Pct	Wind_Speed_kmh	Surface_Pressure_hPa	Rainfall_Lag1_mm	Target_Rain_Tomorrow
BMD-623	Patuakhali	Barisal	22.3596	90.3299	3	7/22/2025	20:20	Monsoon	35.6	25.1	29.4	10.5	0	98	87	23.8	1005.7	0	0
BMD-636	Bogra	Rajshahi	24.8465	89.377	20	7/22/2025	21:20	Monsoon	36.5	29.1	29.3	7.4	0	78	70	7.9	1004.6	0	1
BMD-166	Sreemangal	Sylhet	24.3065	91.7296	26	7/22/2025	22:20	Monsoon	35.3	24.7	29	10.6	12.3	93	70	3.2	1017.1	0	1
BMD-531	Sylhet	Sylhet	24.8949	91.8687	35	7/22/2025	23:20	Monsoon	31	21.2	28.3	9.8	32.2	74	83	23.7	1017	12.3	1
BMD-683	Barisal	Barisal	22.701	90.3535	4	7/23/2025	0:20	Monsoon	36.3	29.1	29.1	7.2	1.6	95	79	15.4	1011.4	32.2	1
BMD-636	Bogra	Rajshahi	24.8465	89.377	20	7/23/2025	1:20	Monsoon	33.6	24.1	29.5	9.5	0	96	68	3	1010.9	1.6	0
BMD-499	Jessore	Khulna	23.1664	89.2081	16	7/23/2025	2:20	Monsoon	29.4	21.3	29.1	8.1	21.6	81	61	11	1008.9	0	1
BMD-623	Patuakhali	Barisal	22.3596	90.3299	3	7/23/2025	3:20	Monsoon	34	23.5	29.1	10.5	0	83	79	9.5	1011.1	21.6	1
BMD-197	Rajshahi	Rajshahi	24.3745	88.6042	18	7/23/2025	4:20	Monsoon	33.9	26.8	29.7	7.1	0	90	81	5.6	1007.2	0	0
BMD-683	Barisal	Barisal	22.701	90.3535	4	7/23/2025	5:20	Monsoon	36.6	28.2	29.7	8.4	0	79	88	22.8	1006.9	0	0
BMD-282	Dhaka	Dhaka	23.8103	90.4125	4	7/23/2025	6:20	Monsoon	34.7	24.2	29.4	10.5	0	70	86	6.5	1008.2	0	0
BMD-481	Narayanganj	Dhaka	23.6238	90.5	3	7/23/2025	7:20	Monsoon	34.5	25	28.6	9.5	0	91	87	5.9	1008.1	0	0
BMD-998	Chittagong	Chittagong	22.3569	91.7832	12	7/23/2025	8:20	Monsoon	27.3	17.2	27.3	10.1	0	82	81	21.3	1010.9	0	0
BMD-683	Barisal	Barisal	22.701	90.3535	4	7/23/2025	9:20	Monsoon	30	20.4	27	9.6	0	96	74	22.3	1002.4	0	0
BMD-187	Mymensingh	Mymensingh	24.7471	90.4203	19	7/23/2025	10:20	Monsoon	32.2	23.7	27.6	8.5	11.8	85	84	15.5	1010.5	0	1
BMD-625	Tangail	Dhaka	24.2513	89.9167	10	7/23/2025	11:20	Monsoon	31.3	23.9	27.4	7.4	0	90	51	12	1013.4	11.8	1
BMD-071	Cox's Bazar	Chittagong	21.4272	92.0058	3	7/23/2025	12:20	Monsoon	34.6	26.2	27.5	8.4	0	82	83	4.3	1011.2	0	1
BMD-197	Rajshahi	Rajshahi	24.3745	88.6042	18	7/23/2025	13:20	Monsoon	35.1	26.7	27.9	8.4	0	83	66	21.7	1007.5	0	1
BMD-531	Sylhet	Sylhet	24.8949	91.8687	35	7/23/2025	14:20	Monsoon	36.7	27.3	28	9.4	0	68	76	23.1	1016.6	0	1
BMD-187	Mymensingh	Mymensingh	24.7471	90.4203	19	7/23/2025	15:20	Monsoon	29.6	23.3	28	6.3	0	92	66	6	1006	0	0
BMD-623	Patuakhali	Barisal	22.3596	90.3299	3	7/23/2025	16:20	Monsoon	35.6	29.2	29.2	6.4	25.9	85	60	4	1004.4	0	1
BMD-499	Jessore	Khulna	23.1664	89.2081	16	7/23/2025	17:20	Monsoon	34.5	24.1	29.7	10.4	34.5	83	56	6	1013.6	25.9	1
BMD-683	Barisal	Barisal	22.701	90.3535	4	7/23/2025	18:20	Monsoon	35.7	25.5	29.7	10.2	0	90	51	9.9	1017.8	34.5	0
BMD-623	Patuakhali	Barisal	22.3596	90.3299	3	7/23/2025	19:20	Monsoon	34.4	24	30.5	10.4	0	70	83	10.3	1009.1	0	1
BMD-869	Rangpur	Rangpur	25.7439	89.2752	34	7/23/2025	20:20	Monsoon	31.9	24.8	30.1	7.1	0	99	48	13.6	1005.4	0	0
BMD-531	Sylhet	Sylhet	24.8949	91.8687	35	7/23/2025	21:20	Monsoon	34	25.3	30.6	8.7	0	78	47	20.9	1003.8	0	0
BMD-481	Narayanganj	Dhaka	23.6238	90.5	3	7/23/2025	22:20	Monsoon	33.9	26.3	30.4	7.6	0	86	67	9	1013.1	0	0
BMD-683	Barisal	Barisal	22.701	90.3535	4	7/23/2025	23:20	Monsoon	30	21.4	29.8	8.6	0	97	49	24.9	1017.8	0	1
BMD-166	Sreemangal	Sylhet	24.3065	91.7296	26	7/24/2025	0:20	Monsoon	35.6	27.7	29.2	7.9	0	79	60	15.6	1006.3	0	1
BMD-531	Sylhet	Sylhet	24.8949	91.8687	35	7/24/2025	1:20	Monsoon	28.2	21.3	28.2	6.9	0	96	71	20.5	1010	0	1
BMD-038	Dinajpur	Rangpur	25.6279	88.6332	38	7/24/2025	2:20	Monsoon	27.6	18.2	27.6	9.4	0	74	68	12.6	1003.3	0	0
BMD-683	Barisal	Barisal	22.701	90.3535	4	7/24/2025	3:20	Monsoon	36.6	26.8	27.3	9.8	3.7	99	53	5.2	1009.4	0	1
BMD-683	Barisal	Barisal	22.701	90.3535	4	7/24/2025	4:20	Monsoon	29.1	20	27.9	9.1	0	74	55	5.3	1009.8	3.7	0
BMD-282	Dhaka	Dhaka	23.8103	90.4125	4	7/24/2025	5:20	Monsoon	27	16.7	27	10.3	31.7	80	86	14.3	1013.7	0	1
BMD-481	Narayanganj	Dhaka	23.6238	90.5	3	7/24/2025	6:20	Monsoon	36.4	27	27	9.4	0	91	81	6.3	1010.6	31.7	1
BMD-197	Rajshahi	Rajshahi	24.3745	88.6042	18	7/24/2025	7:20	Monsoon	31.5	22.8	27.3	8.7	7.4	83	71	9.8	1012.1	0	1
BMD-421	Khulna	Khulna	22.8456	89.5403	9	7/24/2025	8:20	Monsoon	32.6	24.4	26.7	8.2	0	75	81	16.7	1016.3	7.4	0
BMD-636	Bogra	Rajshahi	24.8465	89.377	20	7/24/2025	9:20	Monsoon	32.7	24.4	26.1	8.3	0	85	50	6	1012.3	0	0
BMD-481	Narayanganj	Dhaka	23.6238	90.5	3	7/24/2025	10:20	Monsoon	35.3	29.1	29.1	6.2	0	73	87	18.6	1012.3	0	0
BMD-625	Tangail	Dhaka	24.2513	89.9167	10	7/24/2025	11:20	Monsoon	32	24.3	28.5	7.7	36.4	97	59	19.9	1007.3	0	1
BMD-197	Rajshahi	Rajshahi	24.3745	88.6042	18	7/24/2025	12:20	Monsoon	36.9	29.6	29.6	7.3	0	97	53	7.1	1003.4	36.4	0
BMD-481	Narayanganj	Dhaka	23.6238	90.5	3	7/24/2025	13:20	Monsoon	27.1	19.4	27.1	7.7	0	69	78	11.1	1011.2	0	0
BMD-998	Chittagong	Chittagong	22.3569	91.7832	12	7/24/2025	14:20	Monsoon	36.8	30	30	6.8	0	83	81	17.9	1008.3	0	1
BMD-998	Chittagong	Chittagong	22.3569	91.7832	12	7/24/2025	15:20	Monsoon	29.1	22.3	29.1	6.8	0	97	69	11.2	1017.7	0	0
BMD-038	Dinajpur	Rangpur	25.6279	88.6332	38	7/24/2025	16:20	Monsoon	35.4	27.5	29.3	7.9	0	88	88	15.9	1015.2	0	0
BMD-038	Dinajpur	Rangpur	25.6279	88.6332	38	7/24/2025	17:20	Monsoon	27.3	21	27.3	6.3	0	70	78	3.3	1005.4	0	0
BMD-623	Patuakhali	Barisal	22.3596	90.3299	3	7/24/2025	18:20	Monsoon	34.9	26.4	27.5	8.5	0	93	80	8.2	1015.9	0	1
BMD-636	Bogra	Rajshahi	24.8465	89.377	20	7/24/2025	19:20	Monsoon	36	28.7	28.7	7.3	0	68	82	6.4	1014.2	0	0
BMD-625	Tangail	Dhaka	24.2513	89.9167	10	7/24/2025	20:20	Monsoon	27	20.3	27	6.7	0	71	66	6.9	1014.6	0	1
BMD-683	Barisal	Barisal	22.701	90.3535	4	7/24/2025	21:20	Monsoon	36.1	25.7	26.2	10.4	0	90	65	10.9	1013.8	0	0
BMD-636	Bogra	Rajshahi	24.8465	89.377	20	7/24/2025	22:20	Monsoon	27.8	21.7	26	6.1	0	89	48	17.9	1009	0	0
BMD-481	Narayanganj	Dhaka	23.6238	90.5	3	7/24/2025	23:20	Monsoon	31.4	24	26.1	7.4	0	89	87	17	1016.7	0	0
BMD-625	Tangail	Dhaka	24.2513	89.9167	10	7/25/2025	0:20	Monsoon	29.7	20.3	26.4	9.4	0	77	66	11.1	1003.1	0	0
BMD-166	Sreemangal	Sylhet	24.3065	91.7296	26	7/25/2025	1:20	Monsoon	32.2	23.4	26	8.8	0	77	82	16	1017.3	0	0
BMD-166	Sreemangal	Sylhet	24.3065	91.7296	26	7/25/2025	2:20	Monsoon	36.1	25.8	25.8	10.3	0	73	48	8.9	1017.1	0	0
BMD-187	Mymensingh	Mymensingh	24.7471	90.4203	19	7/25/2025	3:20	Monsoon	27.5	20.5	26.3	7	0	80	45	17	1012.8	0	1
BMD-683	Barisal	Barisal	22.701	90.3535	4	7/25/2025	4:20	Monsoon	28.8	18.7	27	10.1	0	74	48	12.9	1006.6	0	0
BMD-998	Chittagong	Chittagong	22.3569	91.7832	12	7/25/2025	5:20	Monsoon	35	27.1	27.1	7.9	0	88	56	13.3	1005.4	0	0
BMD-499	Jessore	Khulna	23.1664	89.2081	16	7/25/2025	6:20	Monsoon	31.3	20.5	27.3	10.8	0	80	63	10	1005	0	1
BMD-623	Patuakhali	Barisal	22.3596	90.3299	3	7/25/2025	7:20	Monsoon	35.5	28.3	28.3	7.2	0	68	68	12.2	1015.8	0	0
BMD-197	Rajshahi	Rajshahi	24.3745	88.6042	18	7/25/2025	8:20	Monsoon	35	27.7	28.5	7.3	0	99	54	2.8	1011.7	0	0
BMD-683	Barisal	Barisal	22.701	90.3535	4	7/25/2025	9:20	Monsoon	28.4	22	28.4	6.4	0	72	69	25.2	1006	0	0
BMD-998	Chittagong	Chittagong	22.3569	91.7832	12	7/25/2025	10:20	Monsoon	31.7	21.6	28.9	10.1	0	95	45	16.2	1016.7	0	0
BMD-038	Dinajpur	Rangpur	25.6279	88.6332	38	7/25/2025	11:20	Monsoon	31.5	23.4	28.9	8.1	0	98	87	18.4	1013.7	0	0
BMD-421	Khulna	Khulna	22.8456	89.5403	9	7/25/2025	12:20	Monsoon	36.1	29.8	29.8	6.3	0	78	52	19.6	1011.2	0	0
BMD-481	Narayanganj	Dhaka	23.6238	90.5	3	7/25/2025	13:20	Monsoon	27.9	20.7	27.9	7.2	0	94	61	24.8	1008.5	0	0
BMD-623	Patuakhali	Barisal	22.3596	90.3299	3	7/25/2025	14:20	Monsoon	27.3	19.7	27.3	7.6	12.4	78	82	7.2	1016.9	0	1
BMD-282	Dhaka	Dhaka	23.8103	90.4125	4	7/25/2025	15:20	Monsoon	27.5	19.2	26.9	8.3	0	86	70	9.5	1005.9	12.4	0
BMD-166	Sreemangal	Sylhet	24.3065	91.7296	26	7/25/2025	16:20	Monsoon	34.1	28	28	6.1	0	77	82	20.1	1008.1	0	1
BMD-481	Narayanganj	Dhaka	23.6238	90.5	3	7/25/2025	17:20	Monsoon	27.1	19.8	27.1	7.3	28	93	73	13	1015.2	0	1
BMD-481	Narayanganj	Dhaka	23.6238	90.5	3	7/25/2025	18:20	Monsoon	36.1	29.4	29.4	6.7	0	97	68	2.9	1005.3	28	0
BMD-499	Jessore	Khulna	23.1664	89.2081	16	7/25/2025	19:20	Monsoon	34.1	25.9	29	8.2	0	89	85	10.2	1013.1	0	0
BMD-636	Bogra	Rajshahi	24.8465	89.377	20	7/25/2025	20:20	Monsoon	28.2	22	28.2	6.2	0	74	56	9.3	1008.9	0	1
BMD-636	Bogra	Rajshahi	24.8465	89.377	20	7/25/2025	21:20	Monsoon	34.3	25.9	29	8.4	10.4	95	86	9.9	1016.4	0	1
BMD-282	Dhaka	Dhaka	23.8103	90.4125	4	7/25/2025	22:20	Monsoon	34.5	24.3	29.6	10.2	0	76	72	9.3	1015.1	10.4	0
BMD-197	Rajshahi	Rajshahi	24.3745	88.6042	18	7/25/2025	23:20	Monsoon	28.1	18.3	28.1	9.8	0	74	86	25.6	1017.1	0	0
BMD-038	Dinajpur	Rangpur	25.6279	88.6332	38	7/26/2025	0:20	Monsoon	32.8	23.8	28	9	0	73	55	5.9	1002.8	0	0
BMD-197	Rajshahi	Rajshahi	24.3745	88.6042	18	7/26/2025	1:20	Monsoon	32.6	25.4	28.5	7.2	0	76	45	17.2	1017.1	0	1
BMD-282	Dhaka	Dhaka	23.8103	90.4125	4	7/26/2025	2:20	Monsoon	31.4	23.6	27.9	7.8	0	76	67	4.7	1014.3	0	0
BMD-421	Khulna	Khulna	22.8456	89.5403	9	7/26/2025	3:20	Monsoon	27.7	19.5	27.6	8.2	0	80	68	6.1	1005.9	0	1
BMD-869	Rangpur	Rangpur	25.7439	89.2752	34	7/26/2025	4:20	Monsoon	32.2	21.9	27.6	10.3	0	71	60	24.9	1008.1	0	0
BMD-282	Dhaka	Dhaka	23.8103	90.4125	4	7/26/2025	5:20	Monsoon	30.8	22.1	27.3	8.7	0	76	85	18	1014.8	0	0
BMD-166	Sreemangal	Sylhet	24.3065	91.7296	26	7/26/2025	6:20	Monsoon	36	28.7	28.7	7.3	20.6	95	82	19.7	1015.7	0	1
BMD-636	Bogra	Rajshahi	24.8465	89.377	20	7/26/2025	7:20	Monsoon	27.1	19.7	27.1	7.4	0	70	46	4.3	1014.2	20.6	0
BMD-623	Patuakhali	Barisal	22.3596	90.3299	3	7/26/2025	8:20	Monsoon	27.1	18.6	27.1	8.5	0	80	76	20.1	1009.3	0	0
BMD-071	Cox's Bazar	Chittagong	21.4272	92.0058	3	7/26/2025	9:20	Monsoon	32.8	25.2	27.9	7.6	0	90	81	9.7	1009.1	0	0
BMD-998	Chittagong	Chittagong	22.3569	91.7832	12	7/26/2025	10:20	Monsoon	34	24.6	27.7	9.4	0	81	51	7.6	1016.2	0	0
BMD-421	Khulna	Khulna	22.8456	89.5403	9	7/26/2025	11:20	Monsoon	35.7	26.9	28.4	8.8	0	75	49	14.3	1012.1	0	0
BMD-075	Gazipur	Dhaka	23.9999	90.4203	8	7/26/2025	12:20	Monsoon	33.4	24.3	27.7	9.1	0	91	71	21.1	1007.5	0	0
BMD-038	Dinajpur	Rangpur	25.6279	88.6332	38	7/26/2025	13:20	Monsoon	31	21.3	28.3	9.7	0	95	61	3.5	1008.6	0	0
BMD-197	Rajshahi	Rajshahi	24.3745	88.6042	18	7/26/2025	14:20	Monsoon	28.1	18.7	28.1	9.4	0	69	59	6.7	1002.1	0	1
BMD-481	Narayanganj	Dhaka	23.6238	90.5	3	7/26/2025	15:20	Monsoon	33.3	24.3	27.8	9	0	97	71	9.7	1007	0	0
BMD-531	Sylhet	Sylhet	24.8949	91.8687	35	7/26/2025	16:20	Monsoon	30.9	20.3	27.4	10.6	0	89	68	5.1	1009.5	0	0
BMD-038	Dinajpur	Rangpur	25.6279	88.6332	38	7/26/2025	17:20	Monsoon	28.9	19	27.7	9.9	0	99	82	19.2	1007.6	0	0
BMD-531	Sylhet	Sylhet	24.8949	91.8687	35	7/26/2025	18:20	Monsoon	32.7	24.3	27.3	8.4	0	68	75	5.8	1006.7	0	0
BMD-531	Sylhet	Sylhet	24.8949	91.8687	35	7/26/2025	19:20	Monsoon	27.6	20.5	26.9	7.1	0	71	76	2.3	1008	0	0
BMD-187	Mymensingh	Mymensingh	24.7471	90.4203	19	7/26/2025	20:20	Monsoon	35	28.6	28.6	6.4	0	81	69	20	1013	0	0
BMD-282	Dhaka	Dhaka	23.8103	90.4125	4	7/26/2025	21:20	Monsoon	36	25.4	29	10.6	0	95	73	22.2	1015.8	0	0
BMD-499	Jessore	Khulna	23.1664	89.2081	16	7/26/2025	22:20	Monsoon	31.1	22.4	29.5	8.7	0	88	54	12.6	1008.7	0	1
BMD-282	Dhaka	Dhaka	23.8103	90.4125	4	7/26/2025	23:20	Monsoon	29.1	22.4	28.9	6.7	0	94	58	11.1	1003.4	0	1
BMD-683	Barisal	Barisal	22.701	90.3535	4	7/27/2025	0:20	Monsoon	35.4	26.5	28.5	8.9	2.7	79	86	21.8	1013.5	0	1
BMD-421	Khulna	Khulna	22.8456	89.5403	9	7/27/2025	1:20	Monsoon	36.7	26.2	29	10.5	0	87	62	22.2	1013.2	2.7	0
BMD-197	Rajshahi	Rajshahi	24.3745	88.6042	18	7/27/2025	2:20	Monsoon	30.5	19.6	28.8	10.9	0	72	80	13	1014.1	0	0
BMD-038	Dinajpur	Rangpur	25.6279	88.6332	38	7/27/2025	3:20	Monsoon	34.6	26.3	28.8	8.3	8	75	56	8	1006.5	0	1
BMD-197	Rajshahi	Rajshahi	24.3745	88.6042	18	7/27/2025	4:20	Monsoon	33.9	23.3	28.4	10.6	0	74	78	21.2	1011.4	8	0
BMD-623	Patuakhali	Barisal	22.3596	90.3299	3	7/27/2025	5:20	Monsoon	34.1	27.7	27.7	6.4	0	81	71	16	1008.4	0	1
BMD-625	Tangail	Dhaka	24.2513	89.9167	10	7/27/2025	6:20	Monsoon	32.7	21.8	27.8	10.9	0	74	49	4.7	1008.6	0	0
BMD-038	Dinajpur	Rangpur	25.6279	88.6332	38	7/27/2025	7:20	Monsoon	33.3	26.3	27.2	7	0	70	76	5.5	1010.7	0	0
