Title,Description,Date,Category,URL
Why positive cocaine test could mean end of Kyrgios' career,Nick Kyrgios once said he did not want to play tennis into his 30s. A positive cocaine test could have brought an end to his career aged 31.,2026-08-19T15:21:21.955Z,Tennis,https://www.bbc.com/sport/tennis/articles/c87nzeepv70o
Two collapses in four days - what's happening to Musiala?,"Jamal Musiala is being treated for a ""neurological dysfunction"" after collapsing twice in four days during Bayern Munich's pre-season friendlies.",2026-08-19T15:34:38.277Z,Football,https://www.bbc.com/sport/football/articles/crmry3r1ew7o
German Bundesliga,"The home of German Bundesliga on BBC Sport online. Includes the latest news stories, results, fixtures, video and audio.",,Football,https://www.bbc.com/sport/football/german-bundesliga
Antonelli - the boy 'born in a garage' who started driving on dad's lap,"Kimi Antonelli was a natural driver at the age of three, according to his dad. Here's how he went on to lead the F1 drivers' championship at the age of 19. ",2026-08-19T06:06:58.665Z,Formula 1,https://www.bbc.com/sport/formula1/articles/c0rdvxdwwwwo
Reijnders leaves Man City for Al-Qadsiah in Â£52m deal,Netherlands midfielder Tijjani Reijnders completes a Â£52m move to Saudi Arabian side Al-Qadsiah from Manchester City.,2026-08-19T16:01:32.496Z,Football,https://www.bbc.com/sport/football/articles/c0m7el3zr2eo
Manchester City,"The home of Man City on BBC Sport online. Includes the latest news stories, transfers, results, fixtures, video and audio.",2026-08-23T13:00:00Z,Football,https://www.bbc.com/sport/football/teams/manchester-city
How will your club fare? Phil McNulty's Premier League predictions,How will your club fare in the 2026-27 Premier League? BBC chief football writer Phil McNulty makes his annual predictions.,2026-08-19T05:21:19.334Z,Football,https://www.bbc.com/sport/football/articles/c5ye50qz7yqo
Inter close in on Â£30m deal for Liverpool's Jones,Italian champions Inter Milan are closing in on a deal worth 35m euros (Â£30m) for Liverpool midfielder Curtis Jones.,2026-08-19T14:23:20.616Z,Football,https://www.bbc.com/sport/football/articles/clye43vge5jo
Questions remain over Vieira deal amid Senegal uncertainty,"Questions remain over the appointment of Patrick Vieira as Senegal's new head coach, with the country's football federation riven by off-field issues.",2026-08-19T16:26:06.680Z,Football,https://www.bbc.com/sport/football/articles/cddjvjqd5mro
Africa Sport,"The home of Africa on BBC Sport online. Includes the latest news stories, results, fixtures, video and audio.",,Sports,https://www.bbc.com/sport/africa
Mourinho told Vinicius Jr 'not worth' leaving Real,Jose Mourinho explains how he successfully persuaded Vinicius Jr to remain the Spanish club.,2026-08-19T10:54:36.126Z,Football,https://www.bbc.com/sport/football/articles/cgq5wv43g8lo
European Football,"The home of European Football on BBC Sport online. Includes the latest news stories, results, fixtures, video and audio.",,Football,https://www.bbc.com/sport/football/european
Sport Video,"The home of Sport Video on BBC Sport online. Includes the latest news stories, results, fixtures, video and audio.",,Sports,https://www.bbc.com/sport/video
Lampard lays out Coventry's Premier League plans,Frank Lampard discusses the impact he is hoping to have in the Premier League after guiding Coventry back to the top flight after 25 years.,2026-08-19T11:44:40.178Z,Football,https://www.bbc.com/sport/football/videos/c4gj1e83514o
Coventry City,"The home of Coventry City on BBC Sport online. Includes the latest news stories, transfers, results, fixtures, video and audio.",2026-08-21T19:00:00Z,Football,https://www.bbc.com/sport/football/teams/coventry-city
Masters says Man City verdict taking longer than expected,Premier League chief executive Richard Masters says the verdict on the more than 100 charges that Manchester City face has taken longer than expected.,2026-08-19T10:09:48.034Z,Football,https://www.bbc.com/sport/football/videos/cly9dwjr9zro
Arsenal delight Arteta while Man City concern Maresca,"Arsenal manager Mikel Arteta says he is ""extremely happy"" with winning the Community Shield while Manchester City boss Enzo Maresca says there are concerns about his team's performance.",2026-08-17T11:18:59.258Z,Football,https://www.bbc.com/sport/football/videos/c5y47d98pjpo
My best physical reaction to a Slam in two years - Djokovic,"Four-time US Open champion Novak Djokovic says his physical response to Wimbledon was his best after a Grand Slam for two years, setting him up for the New York major.",2026-08-14T10:36:32.728Z,Tennis,https://www.bbc.com/sport/tennis/videos/cm2grlj3v50o
Would more sprint races be a positive change for Formula 1?,"Chequered Flag's Harry Benjamin and Becky Evans discuss what benefits could come from an increased number of sprint weekends in the Formula 1 calendar, both for drivers and fans.",2026-08-13T16:50:45.157Z,Formula 1,https://www.bbc.com/sport/formula1/videos/c5y3ey5lpydo
How Carrick's Man Utd are shaping up for Premier League season,"As Manchester United prepare to start the new Premier League season at Hull on Saturday, BBC Sport examines how Michael Carrick's team will set up tactically.",2026-08-19T06:29:26.226Z,Football,https://www.bbc.com/sport/football/articles/cg5l9p58dv6o
Manchester United,"The home of Man Utd on BBC Sport online. Includes the latest news stories, transfers, results, fixtures, video and audio.",2026-08-22T11:30:00Z,Football,https://www.bbc.com/sport/football/teams/manchester-united
New Zealand great Tui joins Trailfinders,"World Cup-winning New Zealand international Ruby Tui, 34, signs a one-year deal with Trailfinders Women.",2026-08-19T09:36:15.631Z,Sports,https://www.bbc.com/sport/rugby-union/articles/cd69dj304wxo
I won FPL last season - here are my five best tips,Want to win your Fantasy Premier League mini-league but need some expert advice? Here are some tips from last season's champion Erik Ibsen.,2026-08-19T07:11:05.941Z,Football,https://www.bbc.com/sport/football/articles/c3ekq87e214o
'Everyone wants clarity' over Man City charges,Arsenal's chief executive Richard Garlick speaks out on the case against Manchester City and the more than 100 alleged breaches of the Premier League's financial rules.,2026-08-19T12:30:11.389Z,Football,https://www.bbc.com/sport/football/articles/c1416keng1po
Sabalenka breezes through as Medvedev loses cool in defeat,Aryna Sabalenka needs just 54 minutes to reach the Cincinnati Open fourth round - but Daniil Medvedev's frustrations boil over after he misses three match points in surprise defeat.,2026-08-19T06:44:48.464Z,Tennis,https://www.bbc.com/sport/tennis/articles/ce97ln7kp01o
'Leader' Sainz commits to Williams with new deal,Carlos Sainz signs a new contract to stay at the Williams team into 2027 and beyond.,2026-08-19T14:43:49.480Z,Formula 1,https://www.bbc.com/sport/formula1/articles/cly8ervvyggo
Musiala collapses during match for second time,"Bayern Munich midfielder Jamal Musiala says he is being treated for a ""neurological dysfunction"" after collapsing during a match for the second time in a four-day period.",2026-08-18T19:33:04.995Z,Football,https://www.bbc.com/sport/football/articles/c330kg5xm8no
Even the Queen could not watch - 10 years since Olympic hockey gold,"Ten years since Team GB clinched women's hockey gold at the Rio Olympics, BBC Sport looks back at the legacy of that historic win.",2026-08-18T17:43:16.734Z,Sports,https://www.bbc.com/sport/hockey/articles/czek237r51po
Hockey,"The home of Hockey on BBC Sport online. Includes the latest news stories, results, fixtures, video and audio.",,Sports,https://www.bbc.com/sport/hockey
Sheff Utd could face points deduction after court ruling,"Sheffield United could incur a 12-point deduction after the company used to buy the club was placed into liquidation.
",2026-08-19T14:27:07.810Z,Football,https://www.bbc.com/sport/football/articles/c4g618x1z80o
Sheffield United,"The home of Sheffield United on BBC Sport online. Includes the latest news stories, transfers, results, fixtures, video and audio.",2026-08-22T14:00:00Z,Football,https://www.bbc.com/sport/football/teams/sheffield-united
Five in Five: Football quiz No 3,Will you beat the clock by getting all five of today's answers in five minutes?,2026-08-19T05:37:16.446Z,Football,https://www.bbc.com/sport/football/articles/c74gde30nryo
To the well and back - how Malaga returned to La Liga,"After tumbling from the Champions League to the depths of Spain's semi-professional third tier, Malaga are back in La Liga after almost a decade away.",2026-08-19T08:01:45.147Z,Football,https://www.bbc.com/sport/football/articles/cn8nx2wnjq9o
Pogba leaves Monaco after contract termination,Former France midfielder Paul Pogba leaves Monaco with his contract terminated after just one season.,2026-08-19T09:12:22.354Z,Football,https://www.bbc.com/sport/football/articles/ckgve2zevzgo
Buss trying to block siblings' sale of LA Lakers,Los Angeles Lakers governor Jeanie Buss is trying to stop her siblings' sale of the family's remaining stake in the NBA franchise.,2026-08-18T13:39:42.132Z,Sports,https://www.bbc.com/sport/basketball/articles/c5yvdz79w11o
"Bidding to beat drop - how Coventry, Ipswich & Hull are shaping up","2026-27 Premier League: Can Coventry, Ipswich and Hull beat the drop?",2026-08-19T11:24:27.110Z,Football,https://www.bbc.com/sport/football/articles/ckgvl3qnv29o
Surreal preparing without World Cup stars - Luis Enrique,"Paris St-Germain boss Luis Enrique says preparing for the Uefa Super Cup against Aston Villa without some of his World Cup stars has been ""surreal"".",2026-08-12T10:52:59.245Z,Football,https://www.bbc.com/sport/football/videos/c1l12pdy7e2o
New boss Forlan could recall Suarez for Uruguay,New Uruguay head coach Diego Forlan says his former strike partner Luis Suarez could still play for Uruguay at the age of 39.,2026-08-11T13:08:57.959Z,Football,https://www.bbc.com/sport/football/videos/c3v06e2ygr3o
Uruguay,"The home of Uruguay on BBC Sport online. Includes the latest news stories, results, fixtures, video and audio.",2026-09-24T10:05:00Z,Football,https://www.bbc.com/sport/football/teams/uruguay
Chelsea lose friendly as Juventus score stunning winner,Watch highlights as Chelsea suffer a narrow defeat in a friendly match by Juventus in Hong Kong thanks to a wonderful goal by Edon Zhegrova.,2026-08-05T16:16:08.184Z,Football,https://www.bbc.com/sport/football/videos/c62qvzn4zx1o
Want to score more runs? Gay's batting masterclass,"England opener Emilio Gay joins former skipper Michael Vaughan to give a masterclass on how to be effective at scoring runs, giving his best tips on communication and technique.",2026-08-05T18:01:40.729Z,Cricket,https://www.bbc.com/sport/cricket/videos/c2048q16xlvo
The Hundred,"The home of The Hundred on BBC Sport online. Includes the latest news stories, results, fixtures, video and audio.",,Cricket,https://www.bbc.com/sport/cricket/the-hundred
Root looks refreshed and ready to retake captaincy reins - Cook,"Sir Alastair Cook believes Joe Root is not the long-term solution to be England's Test cricket captain, but is confident of his ability to lead the side for the next year and help take England forward with the home Ashes coming up in 2027.",2026-08-02T20:17:03.833Z,Cricket,https://www.bbc.com/sport/cricket/videos/c9v470r9kneo
England Men's Cricket Team,"The home of England Men's Cricket Team on BBC Sport online. Includes the latest news stories, results, fixtures, video and audio.",,Cricket,https://www.bbc.com/sport/cricket/teams/england
Football in Greenland: The 'toughest' championship in the world?,"Crammed into one hectic summer week, the Greenlandic Football Championship is like no other tournament on earth.",2025-09-06T05:23:27.284Z,Football,https://www.bbc.com/sport/football/videos/c87y0e5l8v2o
The stunning football pitches hiding in the Arctic Circle,BBC Sport's Graeme Langford heads deep into the Arctic Circle to see some of the most beautiful football pitches on the planet.,2025-06-07T05:09:18.182Z,Football,https://www.bbc.com/sport/football/videos/c8612q6jdlyo
Exploring Britain's most extraordinary cricket grounds,BBC Sportâs Graeme Langford takes a trip around Britain to see the most extraordinary village cricket grounds in the country.,2025-07-19T05:45:38.754Z,Cricket,https://www.bbc.com/sport/cricket/videos/cql0x1x6k0qo
How does British football food rate with European fans?,How does British football food rate with European away fans who have visited the UK during the league stages?,2025-01-28T08:29:28.209Z,Football,https://www.bbc.com/sport/football/videos/ce3lypzvzk7o
Inside the $5bn World Cup stadium in California,Inside the $5bn SoFi stadium in LA that will host Manchester United against Take a look inside the $5bn SoFi stadium in Los Angeles which will host the opening game of the World Cup in 2026.,2024-07-27T05:44:20.783Z,Football,https://www.bbc.com/sport/football/videos/cpwd35e558eo
"Brook on Test captaincy, batting and Wellington","In an exclusive interview, England's Harry Brook says he supports Joe Root taking the Test captaincy, addresses frustrations about his batting and describes the Wellington nightclub incident fallout.",2026-08-17T05:15:45.973Z,Cricket,https://www.bbc.com/sport/cricket/articles/cwyee152xeqo
Messi's most iconic moments as he ponders retirement,"As Lionel Messi considers his footballing future following the death of his father, BBC Sport looks back at some of his most iconic moments.",2026-08-12T20:32:58.377Z,Football,https://www.bbc.com/sport/football/articles/c74x9zd83vlo
The team behind Hodgkinson's golden rise and the hunt for a world record,BBC Sport looks at the team behind Great Britain 800m star Keely Hodgkinson's golden rise and pursuit of a world record.,2026-08-10T07:00:24.332Z,Athletics,https://www.bbc.com/sport/athletics/articles/cjwp3nnlgqpo
Life as a Wag in the transfer window,What is life like for footballers' families during the transfer window where a last-minute deal means you need to uproot your life and move hundreds of miles?,2026-08-08T05:15:34.249Z,Football,https://www.bbc.com/sport/football/articles/cx2jpgj24vlo
A secret invite and other 'pinch-me' moments before Leicester woke up,Leicester are gearing up for League One but 10 years ago they were defending Premier League champions. The dream moments haven't been forgotten. ,2026-08-07T12:41:51.185Z,Football,https://www.bbc.com/sport/football/articles/cy7j72nvzmzo
Leicester City,"The home of Leicester City on BBC Sport online. Includes the latest news stories, results, fixtures, video and audio.",2026-08-22T14:00:00Z,Football,https://www.bbc.com/sport/football/teams/leicester-city
The summer that changed Welsh football,"A decade on from Euro 2016, key figures tell BBC Sport Wales the inside story of the summer that changed Welsh football forever.",2026-08-04T05:17:17.572Z,Football,https://www.bbc.com/sport/football/articles/ced4lq94ldvo
Wales Men's Football Team,"The home of Wales Men's Football Team on BBC Sport online. Includes the latest news stories, results, fixtures, video and audio.",2026-09-24T18:45:00Z,Football,https://www.bbc.com/sport/football/teams/wales
The phone call that made Briton an NFL trailblazer,Seydou Traore is the first graduate of the UK-based NFL Academy to be drafted in the NFL. This is how he beat the odds.,2026-07-30T05:42:12.910Z,Sports,https://www.bbc.com/sport/american-football/articles/c4gd01l443wo
What's going on at Cadillac and Haas? F1 Q&A,BBC Sport F1 correspondent Andrew Benson answers your latest questions before the season resumes with the Dutch Grand Prix.,2026-08-18T06:57:33.583Z,Formula 1,https://www.bbc.com/sport/formula1/articles/c1w1ypg102po
Tarling death shows risks of smaller races - Vaughters,"Riders are risking their lives in races where organisers battle huge costs, and cycling's governing body ""cannot keep traffic off the roads"", according to former rider and team boss Jonathan Vaughters.",2026-08-18T15:52:00.070Z,Sports,https://www.bbc.com/sport/cycling/articles/cddjv2jn846o
New-look Villa turn to Scandinavia as they rebuild squad,"Aston Villa, following a disappointing ninth place finish in the Women's Super League last season, have replaced several departed senior players by transplanting a new Scandinavian heart into their team.",2026-08-19T07:26:37.671Z,Football,https://www.bbc.com/sport/football/articles/cqjxpn1v19ko
Norway,"The home of Norway on BBC Sport online. Includes the latest news stories, results, fixtures, video and audio.",2026-09-24T18:45:00Z,Football,https://www.bbc.com/sport/football/teams/norway
Breakouts & wildcards - 13 surprise stars for new season,BBC Sport TV and radio commentators identify the players they think could be the breakout stars of the new Premier League season.,2026-08-18T05:49:00.637Z,Football,https://www.bbc.com/sport/football/articles/c1l197j4gvro
Is All Blacks' tour of South Africa a new chapter for rugby union?,Is New Zealand's 'Greatest Rivalry' tour of world champions South Africa a signpost to the future of rugby union?,2026-08-17T13:18:44.101Z,Sports,https://www.bbc.com/sport/rugby-union/articles/c2dkz3k94dlo
"Notifications, social media and more with BBC Sport","With latest scores and headlines sent straight to your device, personalisation and much more, ensure you have a great sporting life with BBC Sport.",2024-03-26T13:59:30.631Z,Sports,https://www.bbc.com/sport/articles/cl5q9dk9jl3o
"BBC Sport: Contact, Help & FAQs",We answer your questions on our TV and website content.,2024-05-23T09:26:48.671Z,Sports,https://www.bbc.com/sport/articles/cn33yxd1rz0o
